tumour,subsite,setting,line,subgroup,trial,phase,population,intervention,results,comment,pe,pm,rf,extra,link,src,flags
Bladder Cancer,MIBC,,,,BC2001,Phase 3,MIBC (T2-T4a N0 M0); n=360,ChemoRT (5-FU/MMC) vs RT alone,"2-y locoregional DFS 67 vs 54%, HR 0.68 (0.48-0.96), p=0.03; 5-y OS 48 vs 35%, HR 0.82 (0.63-1.09), NS; 5-y cystectomy 14 vs 22% (10-y update)","Benefit in locoregional control maintained at median 9.9 y (HR 0.61); DFS, MFS and OS numerically better but NS; no significant excess toxicity. 10-y update: PMID 35577644","2-y locoregional DFS 67% (95% CI 59-74) vs 54% (95% CI 46-62); HR 0.68 (95% CI 0.48-0.96), p=0.03",22512481,,,,Bladder Cancer!16,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,ABC meta-analysis (2003),Meta-analysis,"Invasive bladder cancer; 10 RCTs, 2688 patients",surgery +/- neoadjuvant cisplatin based chemo,"5-y OS 50 vs 45%, HR 0.87 (0.78-0.98), p=0.016; absolute benefit 5% at 5 y",Benefit confined to platinum-based combinations; no benefit with single-agent cisplatin,"OS HR 0.87 (0.78-0.98), p=0.016",12801735,,,,Bladder Cancer!18,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,GETUG/AFU V05 VESPER,Phase 3,≥cT2N0 neoadjuvant or >T2/N+ adjuvant; n=500 (88% neoadjuvant),DdMVAC vs cis-gem perioperative therapy,"Primary endpoint not met: 3-y PFS 64 vs 56%, HR 0.77 (0.57-1.02); neoadjuvant 3-y PFS 66 vs 56%, HR 0.70; neoadjuvant 5-y OS 66 vs 57%, HR 0.71","Organ-confined response (<ypT3N0) 77 vs 63% and path CR 42 vs 36% favour ddMVAC; overall 5-y OS 64 vs 56%, HR 0.79 (NS); 5-y survival update: PMID 38142702","3-y PFS 64 vs 56%, HR 0.77 (95% CI 0.57-1.02), p=0.066",35254888,,,,Bladder Cancer!19,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,ABACUS,Phase 2,Operable MIBC before cystectomy; n=95,Atezolizumab,Path CR 31% (21-41%),,Pathological CR 31% (95% CI 21-41%),31686036,,,,Bladder Cancer!20,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,PURE-01,Phase 2,MIBC cT≤3bN0 before radical cystectomy; n=50,Pembrolizumab,pT0 42%; downstaging to pT<2 54%; pT0 54% if PD-L1 CPS≥10 vs 13% if CPS<10,,pT0 42% (95% CI 28.2-56.8%),30343614,,,,Bladder Cancer!21,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,POUT,Phase 3,"UTUC after nephroureterectomy, pT2-T4 N0-3 M0 or pTany N1-3 M0; n=261",Gem + cisplatin (carboplatin if GFR <50) x4 vs surveillance,"DFS HR 0.45 (0.30-0.68), 3-y 71 vs 46%; at median 65 mo: 5-y DFS 62 vs 45%, HR 0.55 (0.38-0.80); 5-y OS 66 vs 57%, HR 0.68 (0.46-1.00)",Stopped early for efficacy at interim; grade 3+ AEs 44 vs 4%. Final results: PMID 38350047,"DFS HR 0.45 (95% CI 0.30-0.68), p=0.0001",32145825,,,,Bladder Cancer!22,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,Coleman et al,Phase 2,High-risk localised UTUC; n=57 (single arm),"Neoadjuvant split-dose gem-cis x4, then surgery","Pathological response (<ypT2N0) 63%; pCR (ypT0N0) 19%; 2-y PFS 89%, 5-y PFS 72%; 5-y OS 79%","Single arm. Long-term update (median 5.4 y): 7-y DFS 60%, OS 72%; much better in responders (PMID 41006098)","Pathological response (<ypT2N0) 63% (36/57, 95% CI 49-76)",36603175,,,,Bladder Cancer!23,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,CheckMate 274,Phase 3,High-risk MIUC after radical surgery (≥ypT2 or ypN+ after neoadjuvant; ≥pT3 or N+ if no neoadjuvant); n=709,"Nivo vs placebo, up to 1 y","At 5-y minimum follow-up: DFS 22 vs 11 mo, HR 0.74 (0.61-0.90); PD-L1 ≥1% 56 vs 8 mo, HR 0.58 (0.42-0.79); OS 75 vs 50 mo, HR 0.83 (0.67-1.02), NS","Grade 3+ TRAEs 17.9 vs 7.2%; 2 pneumonitis deaths. 5-y and ctDNA update: PMID 41110694 (post hoc: DFS benefit in ctDNA+, HR 0.35; none in ctDNA-, HR 0.99)","Coprimary: DFS ITT 20.8 vs 10.8 mo, HR 0.70 (98.22% CI 0.55-0.90), p<0.001; PD-L1 ≥1% HR 0.55 (98.72% CI 0.35-0.85), p<0.001",34077643,,,,Bladder Cancer!24,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,AMBASSADOR,Phase 3,high risk (≥ypT2 or ypN+ after neoadjuvant; ≥pT3 or N+ if no neoadjuvant) MIBC,Pembro vs placebo,"DFS 30 vs 14 mo, HR 0.73 (0.59-0.90), p=0.003; grade >=3 AEs 51 vs 32%","Coprimary endpoints DFS and OS; DFS met, OS not significant at this analysis","DFS 29.6 vs 14.2 mo, HR 0.73 (0.59-0.90)",39282902,,,,Bladder Cancer!25,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,IMVIGOR 011,Phase 3,"MIBC after cystectomy, ctDNA+ on serial surveillance; n=250 randomised 2:1",Atezo vs placebo,"DFS 10 vs 5 mo, HR 0.64 (0.47-0.87), p=0.005; OS 33 vs 21 mo, HR 0.59 (0.39-0.90), p=0.01","Persistently ctDNA-negative patients (n=357, untreated): DFS 95% at 1 y and 88% at 2 y","DFS 9.9 vs 4.8 mo, HR 0.64 (95% CI 0.47-0.87), p=0.005",41124204,,,,Bladder Cancer!26,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,NIAGARA,Phase 3,"Cisplatin-eligible MIBC, planned radical cystectomy; n=1063","Neoadjuvant gem-cis +/- durva, then cystectomy +/- adjuvant durva x8","24-mo EFS 67.8 vs 59.8%, HR 0.68 (0.56-0.82), p<0.001; 24-mo OS 82.2 vs 75.2%, HR 0.75 (0.59-0.93), p=0.01; grade 3-4 TRAEs 40.6 vs 40.9%",,"EFS HR 0.68 (95% CI 0.56-0.82), p<0.001 (one of two primary endpoints)",39282910,,,,Bladder Cancer!27,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,KEYNOTE-905/EV-303,Phase 3,"MIBC, cisplatin-ineligible or declined cisplatin; n=344",Perioperative EV-pembro + cystectomy vs cystectomy alone,"Median EFS NR vs 16 mo, HR 0.40 (0.28-0.57); median OS NR vs 42 mo, HR 0.50 (0.33-0.74); 2-y EFS 74.7 vs 39.4%; 2-y OS 79.7 vs 63.1%; pCR 57.1 vs 8.6%","Median follow-up 26 mo; grade 3+ AEs 71.3 vs 45.9%; surgery performed in 87.6 vs 89.7%. Medians from reports of the NEJM paper, not in its abstract","EFS HR 0.40 (95% CI 0.28-0.57), p<0.001",41707170,,,,Bladder Cancer!28,
Bladder Cancer,MIBC,Neoadjuvant/adjuvant,,,KEYNOTE-B15/EV-304,Phase 3,Cisplatin-eligible MIBC; n=808,Perioperative EV-pembro + cystectomy vs neoadjuvant gem-cis + cystectomy,"2-y EFS 79.4 vs 66.2%, HR 0.53 (0.41-0.70); 2-y OS 86.9 vs 81.3%, HR 0.65 (0.48-0.89); pCR 55.8 vs 32.5%; grade 3+ AEs 75.7 vs 67.2%",Median 34 mo from randomisation to data cutoff; more grade 3+ AEs than gem-cis,"EFS HR 0.53 (95% CI 0.41-0.70), p<0.001",42485627,,,,Bladder Cancer!29,
Bladder Cancer,MIBC,Advanced,1st line,,van der Maase et al,Phase 3,"Locally advanced or metastatic (stage IV) TCC, no prior systemic chemo; n=405",GC vs MVAC,"Long-term update: OS 14 vs 15 mo, HR 1.09 (0.88-1.34), NS; 5-y OS 13.0 vs 15.3%; ORR 49 vs 46%; neutropenic sepsis 1 vs 12%; toxic deaths 1 vs 3%",Similar efficacy with better tolerability; GC replaced MVAC as standard. Long-term survival update: PMID 16034041,"OS HR 1.04 (95% CI 0.82-1.32), p=0.75",11001674,,,,Bladder Cancer!34,
Bladder Cancer,MIBC,Advanced,1st line,,KEYNOTE-052,Phase 2,"Cisplatin-ineligible advanced urothelial cancer, 1st line; n=370 (single arm)",Pembro,"At minimum 2-y follow-up: ORR 29% (CR 9%); median DOR 30 mo; median OS 11 mo; CPS ≥10: ORR 47%, OS 19 mo","Single arm. Long-term results: PMID 32552471; 5-y update: ORR 28.9%, median DOR 33 mo (PMID 36494006)","ORR 24% (89/370, 95% CI 20-29); CPS ≥10: 38% (95% CI 29-48)",28967485,,,,Bladder Cancer!35,
Bladder Cancer,MIBC,Advanced,1st line,,IMvigor210,Phase 2,"Cisplatin-ineligible advanced urothelial carcinoma, 1st line; n=119 (cohort 1, single arm)",Atezolizumab,"ORR 23% (CR 9%); median DOR NR; median PFS 3 mo; median OS 16 mo, at median 17 mo follow-up",,ORR 23% (95% CI 16-31),27939400,,,,Bladder Cancer!36,
Bladder Cancer,MIBC,Advanced,1st line,,IMvigor130,Phase 3,Untreated locally advanced or metastatic UC; n=1213,Atezo + platinum-gem vs placebo + platinum-gem vs atezo alone,"PFS 8 vs 6 mo, HR 0.82 (0.70-0.96); final OS 16 vs 13 mo, HR 0.85 (0.73-1.00), NS; atezo alone vs chemo OS 15 vs 13 mo, HR 0.98 (0.82-1.16)","PFS benefit did not translate into OS. Final OS: PMIDs 38101433 (combination), 38101431 (monotherapy)","PFS 8.2 vs 6.3 mo, HR 0.82 (95% CI 0.70-0.96), one-sided p=0.007; interim OS HR 0.83 (95% CI 0.69-1.00)",32416780,,,,Bladder Cancer!37,
Bladder Cancer,MIBC,Advanced,1st line,,KEYNOTE-361,Phase 3,"Untreated advanced UC, ECOG 0-2; n=1010",Pembro + platinum-gem vs pembro vs platinum-gem,"Primary endpoint not met: PFS 8 vs 7 mo, HR 0.78 (0.65-0.93), p=0.0033; OS 17 vs 14 mo, HR 0.86 (0.72-1.02); pembro alone OS similar to chemo","Hierarchical design: PFS p=0.0033 missed the 0.0019 boundary, so no further formal testing","PFS HR 0.78 (95% CI 0.65-0.93), p=0.0033 (boundary 0.0019); OS HR 0.86 (95% CI 0.72-1.02), p=0.0407 (boundary 0.0142)",34051178,,,,Bladder Cancer!38,
Bladder Cancer,MIBC,Advanced,1st line,,JAVELIN Bladder 100,Phase 3,Advanced UC without progression after 4-6 cycles of 1st-line platinum-gem; n=700,Maintenance avelumab + BSC vs BSC,"OS 21 vs 14 mo, HR 0.69 (0.56-0.86), p=0.001; PD-L1+ OS HR 0.56 (0.40-0.79); PFS 4 vs 2 mo, HR 0.62 (0.52-0.75); grade 3+ AEs 47.4 vs 25.2%",≥2-y follow-up: OS HR 0.76 (0.63-0.91) (PMID 37071838),"OS 21.4 vs 14.3 mo, HR 0.69 (95% CI 0.56-0.86), p=0.001; PD-L1+ HR 0.56 (95% CI 0.40-0.79), p<0.001",32945632,,,,Bladder Cancer!39,
Bladder Cancer,MIBC,Advanced,1st line,,CheckMate 901,Phase 3,Untreated unresectable or metastatic UC; n=608,"Gem-cis +/- nivo, then nivo maintenance up to 2 y","OS 22 vs 19 mo, HR 0.78 (0.63-0.96), p=0.02; PFS HR 0.72 (0.59-0.88), 12-mo PFS 34.2 vs 21.8%; ORR 57.6 vs 43.1% (CR 21.7 vs 11.8%)",At median 34 mo follow-up; median CR duration 37 vs 13 mo; grade 3+ AEs 61.8 vs 51.7%,"OS HR 0.78 (95% CI 0.63-0.96), p=0.02; PFS HR 0.72 (95% CI 0.59-0.88), p=0.001 (dual primary)",37870949,,,,Bladder Cancer!40,
Bladder Cancer,MIBC,Advanced,1st line,,DANUBE,Phase 3,"Untreated unresectable locally advanced or metastatic UC, ECOG 0-1; n=1032",Durva vs durva + treme vs platinum-gem,"Coprimary endpoints not met: durva vs chemo (high PD-L1) OS 14 vs 12 mo, HR 0.89 (0.71-1.11); durva-treme vs chemo (ITT) OS 15 vs 12 mo, HR 0.85 (0.72-1.02)","Exploratory: durva-treme vs chemo in high PD-L1, OS 18 vs 12 mo, HR 0.74 (0.59-0.93), from secondary reports, not in abstract","High PD-L1 durva vs chemo OS HR 0.89 (95% CI 0.71-1.11), p=0.30; ITT durva-treme vs chemo OS HR 0.85 (95% CI 0.72-1.02), p=0.075",32971005,,,,Bladder Cancer!41,
Bladder Cancer,MIBC,Advanced,1st line,,NORSE,Phase 2,"Cisplatin-ineligible metastatic UC with select FGFR3/2 alterations, 1st line; n=87","Erdafitinib + cetrelimab vs erdafitinib (randomised, noncomparative)",ORR 54.5 vs 44.2% (CR 13.6% vs 1 patient); median OS 21 vs 16 mo; grade 3+ TRAEs 45.5 vs 46.5%,"Noncomparative, no hypothesis testing; final results at median 14 mo follow-up",Confirmed ORR 54.5% (95% CI 38.8-69.6) with cetrelimab vs 44.2% (95% CI 29.1-60.1) erdafitinib alone,41538748,,,,Bladder Cancer!42,
Bladder Cancer,MIBC,Advanced,1st line,,EV-103/KEYNOTE-869 (cohort A),Phase 1b/2,Cisplatin-ineligible untreated locally advanced or metastatic UC; n=45 (single arm),Enfortumab vedotin + pembro,ORR 73.3% (CR 15.6%); median DOR 26 mo; median OS 26 mo; grade 3+ TRAEs 64.4%,Primary endpoint safety. 5-y update: 5-y OS 41.5% (PMID 42155320). Randomised cohort K: EV + pembro ORR 64.5% (PMID 37369081),Safety (primary): grade 3+ TRAEs 64.4%; 1 treatment-related death,36041086,,,,Bladder Cancer!43,
Bladder Cancer,MIBC,Advanced,1st line,,EV-302,Phase 3,Previously untreated locally advanced/metastatic urothelial carcinoma; n=886,EV-pembro vs GC,"OS 32 vs 16 mo, HR 0.47; PFS 13 vs 6 mo, HR 0.45; ORR 68 vs 44%; CR 29 vs 12.5%",,"PFS 12.5 vs 6.3 mo, HR 0.45 (95% CI 0.38-0.54); OS 31.5 vs 16.1 mo, HR 0.47 (95% CI 0.38-0.58)",38446675,,,,Bladder Cancer!44,
Bladder Cancer,MIBC,Advanced,1st line,,RC48-C016,Phase 3,Untreated HER2-expressing (IHC 1+ to 3+) locally advanced or metastatic UC; n=484,Disitamab vedotin + toripalimab vs gem + cisplatin or carboplatin,"PFS 13 vs 7 mo, HR 0.36 (0.28-0.46); interim OS 32 vs 17 mo, HR 0.54 (0.41-0.73); ORR 76.1 vs 50.2%; grade 3+ TRAEs 55.1 vs 86.9%",At median 18 mo follow-up,"PFS 13.1 vs 6.5 mo, HR 0.36 (95% CI 0.28-0.46), p<0.001; OS 31.5 vs 16.9 mo, HR 0.54 (95% CI 0.41-0.73), p<0.001 (dual primary)",41124210,,,,Bladder Cancer!45,
Bladder Cancer,MIBC,Advanced,Later line,,KEYNOTE-045,Phase 3,Advanced UC recurring or progressing after platinum; n=542,"Pembro vs paclitaxel, docetaxel or vinflunine","OS 10 vs 7 mo, HR 0.73 (0.59-0.91), p=0.002; PFS NS, HR 0.98; ORR 21.1 vs 11.4%; 48-mo OS 16.7 vs 10.1%; median DOR 30 vs 4 mo (5-y update)",Grade 3-5 TRAEs 15.0 vs 49.4%; 12-mo OS 43.9 vs 30.7%; responses lasting ≥12 mo 68 vs 35%. 5-y update (48-mo PFS 9.5 vs 2.7%): PMID 36494006,"Coprimary: OS HR 0.73 (95% CI 0.59-0.91), p=0.002; CPS ≥10 OS HR 0.57 (95% CI 0.37-0.88); PFS HR 0.98 (95% CI 0.81-1.19), NS",28212060,,,,Bladder Cancer!49,
Bladder Cancer,MIBC,Advanced,Later line,,IMvigor211,Phase 3,Metastatic UC progressing after platinum; n=931,"Atezolizumab vs vinflunine, paclitaxel or docetaxel","Primary endpoint not met: OS in PD-L1 IC2/3 HR 0.87 (0.63-1.21), p=0.41; ORR 23 vs 22%; median DOR 16 vs 8 mo; grade 3-4 TRAEs 20 vs 43%","Hierarchical testing stopped at IC2/3, so the ITT analysis was exploratory only","IC2/3 OS 11.1 vs 10.6 mo, HR 0.87 (95% CI 0.63-1.21), p=0.41",29268948,,,,Bladder Cancer!50,
Bladder Cancer,MIBC,Advanced,Later line,,CheckMate 032,Phase 1/2,Platinum-pretreated metastatic UC; n=274 across 3 cohorts,Nivo 3 mg/kg vs nivo 3 + ipi 1 vs nivo 1 + ipi 3 (cohorts),ORR 38.0% nivo1/ipi3 vs 26.9% nivo3/ipi1 vs 25.6% nivo3; median OS 15 vs 7 vs 10 mo; grade 3-4 TRAEs 39.1 vs 30.8 vs 26.9%,Cohorts not formally compared; nivo1/ipi3 cohort had shorter follow-up (minimum 8 mo vs 38-39 mo). Median DOR >22 mo in all arms. OS from Fig 4 of the full text,"ORR 38.0% (nivo1/ipi3), 26.9% (nivo3/ipi1), 25.6% (nivo3)",31100038,,,,Bladder Cancer!51,
Bladder Cancer,MIBC,Advanced,Later line,,BLC2001,Phase 2,"Locally advanced or metastatic UC with prespecified FGFR3 mutations or FGFR2/3 fusions, progressed after chemo; n=99 (selected regimen)",Erdafitinib 8 mg daily (uptitration to 9 mg),ORR 40% (CR 3%); ORR 59% after prior immunotherapy; median PFS 6 mo; median OS 14 mo; grade 3+ TRAEs 46%,Single arm; phase 3 THOR later showed OS benefit vs chemo. Long-term follow-up (median 24 mo): ORR 40% (PMID 35030333),"Confirmed ORR 40% (CR 3%, PR 37%)",31340094,,,,Bladder Cancer!52,
Bladder Cancer,MIBC,Advanced,Later line,,THOR,Phase 3,"Metastatic UC with susceptible FGFR3/2 alterations, progressed after 1-2 lines including anti-PD-(L)1; n=266",Erdafitinib vs docetaxel or vinflunine,"OS 12 vs 8 mo, HR 0.64 (0.47-0.88), p=0.005; PFS 6 vs 3 mo, HR 0.58 (0.44-0.78); ORR 45.6 vs 11.5%; grade 3-4 TRAEs 45.9 vs 46.4%",Treatment-related deaths 0.7 vs 5.4%. ORR not in abstract; from plain-language summary of the NEJM paper (PMC12218492),"OS 12.1 vs 7.8 mo, HR 0.64 (95% CI 0.47-0.88), p=0.005",37870920,,,,Bladder Cancer!53,
Bladder Cancer,MIBC,Advanced,Later line,,EV-201,Phase 2,Post platinum and PD-1/PD-L1 inhibitor (cohort 1); n=125 (single arm),Enfortumab vedotin,"Cohort 1: ORR 44% (CR 12%); median DOR 8 mo; PFS 6 mo; OS 12 mo; cohort 2 (cisplatin-ineligible, platinum-naive, post PD-1/L1): ORR 52% (CR 20%)","Single arm. Cohort 2: grade 3+ TRAEs 55%, 4 treatment-related deaths (PMID 33991512)",Confirmed ORR 44% (95% CI 35.1-53.2) by central review,31356140,,,,Bladder Cancer!54,
Bladder Cancer,MIBC,Advanced,Later line,,EV-301,Phase 3,Advanced UC after platinum and progression on PD-1/PD-L1 inhibitor; n=608,"Enfortumab vedotin vs docetaxel, paclitaxel or vinflunine","OS 13 vs 9 mo, HR 0.70 (0.56-0.89); PFS 6 vs 4 mo, HR 0.62 (0.51-0.75); ORR 40.6 vs 17.9%; grade 3+ TRAEs 51.4 vs 49.8%",Stopped early at interim for OS benefit. 24-mo update: OS HR 0.70 (0.58-0.85) (PMID 37678672),"OS 12.88 vs 8.97 mo, HR 0.70 (95% CI 0.56-0.89), one-sided p=0.00142",33577729,,,,Bladder Cancer!55,
Bladder Cancer,MIBC,Advanced,Later line,,TROPiCS-04,Phase 3,Advanced UC progressing after platinum and checkpoint inhibitor; n=711,"Sacituzumab govitecan vs paclitaxel, docetaxel or vinflunine","Primary endpoint not met: OS 10 vs 9 mo, HR 0.86 (0.73-1.02), p=0.087; PFS HR 0.86 (0.72-1.03); ORR 23 vs 14%; grade 5 AEs 7 vs 2%",Early fatal neutropenic infections with SG; FDA approval for UC withdrawn (PMID 40377724),"OS 10.3 vs 9.0 mo, HR 0.86 (95% CI 0.73-1.02), p=0.087",39934055,,,,Bladder Cancer!56,
Breast Cancer,,Chemoprevention,,,De censi et al,,High risk with intraepithelial neoplasia,Tamoxifen 5 mg x 3 years vs placebo,DFS HR 0.58,5 mg reasonable alternative to 20 mg. Could give 10 mg on alternating days,,,,,,Breast Cancer!4,
Breast Cancer,ER+,Adjuvant,,,EBCTG meta-analysis,,Post-menopausal women,AI vs tam,"10 year mortality RR 0.85; during year 1 RR 0.64, years 2-4 RR 0.8",,,,,"Risk prediction of distant recurrence: >3 nodes - 3%/year; 1-3 nodes - 2%/year; ≥T2, no nodes - 1%/year; T1N0 - 0.5-1%/year",,Breast Cancer!6,
Breast Cancer,ER+,Adjuvant,,,EBCTG meta-analysis,,Post-menopausal women,AI vs switch,10 year mortality NS but trend (RR 0.89); year 1 RR 0.74; year 2-4 NS,,,,,,,Breast Cancer!7,
Breast Cancer,ER+,Adjuvant,,,EBCTG meta-analysis,,Pre and post menopausal,Tam vs observation,15 year mortality RR 0.7; 15 year breast cancer recurrence 0.61,,,,,,,Breast Cancer!8,
Breast Cancer,ER+,Adjuvant,,,GIM4,Phase 3,Post 2-3 years tamoxifen; postmenopausal phase 3,Letrozole 2-3 years vs 5 years,"12 year DFS 67 vs 62%, HR 0.78;",,,,,,,Breast Cancer!9,
Breast Cancer,ER+,Adjuvant,,,ATLAS,,Post 5 years tam,Tam vs placebo,"Recurrence 18 vs 20.8%, RR 0.85; mortality 9.7 vs 11.5%; PE 0.9 vs 0.5% and endometrial ca 3.1 vs 1.6%",,,,,,,Breast Cancer!10,
Breast Cancer,ER+,Adjuvant,,,aTTom,,Post 5 years tam,Tam vs placebo,Mortality and recurrence decreased,,,,,,,Breast Cancer!11,
Breast Cancer,ER+,Adjuvant,,,MA 17,,Post 5 years tam,Letrozole vs placebo,DFS HR 0.52; OS HR 0.61,,,,,,,Breast Cancer!12,
Breast Cancer,ER+,Adjuvant,,,MA 17R,,Post 5 years AI,Letrozole vs placebo,5 year DFS 95% vs 91%; (half of events prevented were contralateral breast cancers); no OS benefit; higher fracture risk 14% vs 9%,"NSABP-B42, DATA and IDEAL trial didn’t confirm the recurrence benefit of MA17R; no trial has yet demonstrated OS benefit with extended AI after adjuvant AI",,,,,,Breast Cancer!13,
Breast Cancer,ER+,Adjuvant,,,ABCSG-16,,Post 5 years AI,Letrozole 2 years vs 5 years,"Similar DFS, fewer fractures (4 vs 6%)",,,,,,,Breast Cancer!14,
Breast Cancer,ER+,Adjuvant,,,DATA,Phase 3,Phase 3 post 2-3 years tam,Anastrozole 3 vs 6 years after 2-3 yeas tamoxifen,"DFS NS, OS NS; some subgroups benefited (eg node positive)",overall could not recommend extending AI beyond 5 years sequential therapy,,,,,,Breast Cancer!15,
Breast Cancer,ER+,Adjuvant,,,monarchE,,"HR+,HER2-, high risk (≥4 nodes or 1-3 nodes plus one of size>5 cm, grade 3, Ki-67≥20%) early breast cancer",Endocrine therapy +/- abemaciclib x 2 years,"7 year iDFS 77 vs 71%, HR 0.66; 2 year distant RFS 94 vs 90%, HR 0.72; OS immature; increased serious AEs with abeam and 2 vs 0 grade 5 AEs","In subgroup analysis, premenopausal benefit was significant but didn’t reach significance in post-menopausal subgroup; Ki67 not predictive of benefit",,,,,,Breast Cancer!16,
Breast Cancer,ER+,Adjuvant,,,PALLAS,,Stage 2/3 HR+/HER2-,Endocrine therapy +/- palbociclib x 2 years,3 year iDFS similar (89%); 42% stopped palbo prematurely due to AEs - protocol mandated for neutropenia,(?high discontinuation rate mandated for neutropenia potentially affecting results),,,,,,Breast Cancer!17,
